role,topic,difficulty,question,answer
Full Stack Engineer,API Design & Integration,Medium,What is API documentation and why is it critical?,"API documentation defines endpoints, request formats, and responses, enabling smooth integration and reducing errors."
Full Stack Engineer,Performance Optimization,Medium,How does compression improve performance?,"Compression reduces response payload size, decreasing bandwidth usage and improving load time."
HR / Behavioural,Leadership,Easy,How would you describe your leadership style?,"My leadership style is collaborative and goal-oriented. I focus on setting clear expectations, empowering team members, and ensuring open communication."
HR / Behavioural,Leadership,Medium,Describe a time you led a team under pressure.,"I prioritized tasks, clarified roles, and maintained calm communication. By breaking the problem into smaller steps, the team stayed focused and delivered on time."
HR / Behavioural,Leadership,Hard,How do you handle underperforming team members?,"I first understand the root cause through one-on-one discussions, provide constructive feedback, set measurable goals, and offer support or mentoring."
HR / Behavioural,Conflict Resolution,Easy,How do you handle disagreements in a team?,"I listen to all perspectives objectively, identify common goals, and facilitate a solution that aligns with project objectives."
HR / Behavioural,Conflict Resolution,Medium,Describe a conflict you resolved successfully.,"Two team members disagreed on implementation approach. I organized a discussion focusing on data and trade-offs, helping them reach a compromise."
HR / Behavioural,Conflict Resolution,Hard,How do you handle conflict with your manager?,"I approach respectfully, present facts, understand their perspective, and align on the best solution for the organization."
HR / Behavioural,Project Explanation,Easy,How do you explain a technical project to a non-technical person?,"I simplify concepts using analogies, focus on business impact, and avoid technical jargon."
HR / Behavioural,Project Explanation,Medium,How do you present project outcomes to stakeholders?,"I highlight objectives, key metrics, impact, challenges faced, and future improvements."
HR / Behavioural,Project Explanation,Hard,How do you handle critical questions during a project presentation?,"I stay calm, acknowledge concerns, provide data-backed responses, and admit gaps honestly if needed."
HR / Behavioural,Failure Handling,Easy,Describe a failure and what you learned.,"I once underestimated project complexity. I learned to plan buffers, assess risks earlier, and communicate expectations clearly."
HR / Behavioural,Failure Handling,Medium,How do you respond when a project does not meet expectations?,"I analyze root causes, gather feedback, and implement corrective actions while documenting lessons learned."
HR / Behavioural,Failure Handling,Hard,How do you maintain morale after failure?,"I focus on learning opportunities, celebrate small wins, and reinforce the team’s strengths."
HR / Behavioural,Strength/Weakness,Easy,What is your biggest strength?,My biggest strength is adaptability. I quickly learn new technologies and adjust to changing environments.
HR / Behavioural,Strength/Weakness,Medium,What is your weakness?,"I used to take on too many tasks myself, but I am improving by delegating effectively."
HR / Behavioural,Strength/Weakness,Hard,How do you turn weaknesses into strengths?,"I identify gaps through feedback, create improvement plans, track progress, and actively practice new behaviors."
HR / Behavioural,Leadership,Medium,How do you motivate a team?,"By recognizing contributions, setting clear goals, and creating an environment of trust and growth."
HR / Behavioural,Leadership,Hard,How do you make difficult decisions?,"I evaluate data, consider long-term impact, consult stakeholders, and align decisions with company goals."
HR / Behavioural,Conflict Resolution,Medium,How do you handle cultural differences in teams?,"I promote inclusivity, encourage open communication, and respect diverse perspectives."
HR / Behavioural,Project Explanation,Medium,How do you prioritize tasks in a project?,"I assess urgency, impact, dependencies, and available resources before creating a structured roadmap."
HR / Behavioural,Failure Handling,Medium,How do you handle criticism?,I view criticism as constructive feedback and use it to improve my performance.
HR / Behavioural,Strength/Weakness,Medium,How do colleagues describe you?,"They describe me as reliable, proactive, and solution-oriented."
HR / Behavioural,Leadership,Easy,Have you mentored someone?,"Yes, I have guided peers by sharing knowledge, providing feedback, and helping them overcome challenges."
HR / Behavioural,Conflict Resolution,Hard,How do you manage conflict between departments?,I align discussions around shared organizational goals and encourage collaborative problem-solving.
HR / Behavioural,Project Explanation,Hard,How do you measure project success?,"Project success is measured by meeting objectives, stakeholder satisfaction, timeline adherence, and business impact."
HR / Behavioural,Failure Handling,Hard,Have you ever taken responsibility for a team mistake?,"Yes, as a leader I take ownership publicly and address improvements internally to protect team morale."
HR / Behavioural,Leadership,Medium,How do you delegate tasks effectively?,"I assess team members’ strengths, clearly define expectations, provide necessary resources, and follow up without micromanaging."
HR / Behavioural,Leadership,Hard,Describe a time you influenced others without authority.,"I presented data-driven insights and aligned the proposal with shared goals, gaining consensus through collaboration rather than hierarchy."
HR / Behavioural,Leadership,Medium,How do you handle team burnout?,"I monitor workload distribution, encourage breaks, adjust timelines when possible, and promote open communication about stress."
HR / Behavioural,Conflict Resolution,Medium,What steps do you take before escalating a conflict?,"I attempt direct communication, clarify misunderstandings, and propose compromises before involving higher management."
HR / Behavioural,Conflict Resolution,Hard,How do you resolve conflicts caused by miscommunication?,"I clarify expectations, restate each party’s understanding, and document agreements to prevent future misunderstandings."
HR / Behavioural,Project Explanation,Medium,How do you explain trade-offs in a project?,"I present options with pros and cons, quantify risks and benefits, and relate them to business priorities."
HR / Behavioural,Project Explanation,Hard,How do you handle scope creep?,"I evaluate impact on timeline and resources, communicate trade-offs clearly, and align changes with stakeholders before proceeding."
HR / Behavioural,Failure Handling,Medium,How do you recover from a missed deadline?,"I communicate transparently, reassess timelines, prioritize critical tasks, and implement preventive measures."
HR / Behavioural,Failure Handling,Hard,How do you deal with repeated failures?,"I conduct deeper root cause analysis, seek mentorship or additional resources, and adjust strategy based on learnings."
HR / Behavioural,Strength/Weakness,Medium,What professional skill are you currently improving?,I am improving my time management by using structured planning tools and prioritization frameworks.
HR / Behavioural,Strength/Weakness,Hard,How do you ensure your strengths do not become weaknesses?,I seek regular feedback and balance my strengths with awareness to avoid over-reliance or blind spots.
HR / Behavioural,Leadership,Medium,How do you build trust within a team?,"By being transparent, consistent, accountable, and supportive in decision-making."
HR / Behavioural,Leadership,Hard,How do you lead when you lack full information?,"I gather available data, consult experts, assess risks, and make informed decisions while remaining adaptable."
HR / Behavioural,Conflict Resolution,Medium,How do you handle personality clashes?,"I focus on shared objectives, encourage professionalism, and mediate with empathy."
HR / Behavioural,Project Explanation,Medium,How do you justify project delays?,"I explain root causes, mitigation steps taken, and revised plans to meet objectives."
HR / Behavioural,Project Explanation,Hard,How do you explain a failed project outcome?,"I focus on lessons learned, accountability, and improvements implemented for future success."
HR / Behavioural,Failure Handling,Medium,How do you handle risk in projects?,"I identify risks early, prioritize them by impact, and prepare mitigation strategies."
HR / Behavioural,Failure Handling,Hard,Describe a time you made a difficult mistake.,"I once misjudged resource allocation, learned to validate assumptions earlier, and improved planning accuracy."
HR / Behavioural,Strength/Weakness,Medium,How do you handle feedback from peers?,"I listen actively, reflect objectively, and implement actionable improvements."
HR / Behavioural,Strength/Weakness,Hard,What differentiates you from other candidates?,"My combination of technical competence, adaptability, and strong communication skills differentiates me."
HR / Behavioural,Leadership,Medium,How do you manage remote teams?,"By ensuring clear communication, regular check-ins, and using collaboration tools effectively."
HR / Behavioural,Conflict Resolution,Hard,How do you deal with passive-aggressive behavior?,"I address issues directly but respectfully, encourage open dialogue, and clarify expectations."
HR / Behavioural,Project Explanation,Medium,How do you document project progress?,"I maintain structured reports with milestones, KPIs, and risk updates."
HR / Behavioural,Failure Handling,Medium,How do you stay resilient during setbacks?,"I focus on problem-solving, maintain perspective, and remind myself of long-term goals."
HR / Behavioural,Strength/Weakness,Medium,How do you leverage your strengths in a team?,I align my strengths with team needs while supporting others where required.
HR / Behavioural,Leadership,Medium,How do you set goals for your team?,I set SMART goals aligned with organizational objectives and ensure clarity on deliverables and timelines.
HR / Behavioural,Leadership,Hard,Describe a time you had to lead change.,"I communicated the vision clearly, addressed concerns proactively, and involved stakeholders to ensure smooth transition."
HR / Behavioural,Leadership,Medium,How do you ensure accountability?,"By setting clear expectations, tracking progress transparently, and providing regular feedback."
HR / Behavioural,Conflict Resolution,Medium,How do you prevent conflicts in a team?,"By fostering open communication, clarifying roles, and setting shared expectations early."
HR / Behavioural,Conflict Resolution,Hard,How do you handle conflicts arising from performance differences?,"I focus on constructive feedback, skill development, and fair workload distribution."
HR / Behavioural,Project Explanation,Medium,How do you structure a project explanation in interviews?,"I follow a structured approach: problem statement, solution design, implementation, challenges, results, and impact."
HR / Behavioural,Project Explanation,Hard,How do you explain technical trade-offs to business leaders?,"I translate technical details into business risks, cost implications, and scalability considerations."
HR / Behavioural,Failure Handling,Medium,How do you deal with tight deadlines?,"I prioritize high-impact tasks, delegate effectively, and maintain clear communication."
HR / Behavioural,Failure Handling,Hard,Describe a situation where you failed publicly.,"I accepted responsibility, addressed stakeholders transparently, and implemented corrective measures."
HR / Behavioural,Strength/Weakness,Medium,How do you identify your strengths?,"Through feedback, performance reviews, and reflecting on tasks where I consistently excel."
HR / Behavioural,Strength/Weakness,Hard,How do you respond when your weakness impacts performance?,"I acknowledge it, create a focused improvement plan, and seek guidance or training."
HR / Behavioural,Leadership,Medium,How do you encourage innovation in your team?,By creating a safe environment for experimentation and recognizing creative efforts.
HR / Behavioural,Leadership,Hard,How do you balance authority and empathy?,I maintain clear standards while actively listening and understanding team concerns.
HR / Behavioural,Conflict Resolution,Medium,How do you resolve conflicts in virtual teams?,"I ensure clarity through documentation, encourage video discussions, and confirm mutual understanding."
HR / Behavioural,Project Explanation,Medium,How do you quantify project impact?,"By using measurable KPIs such as revenue growth, cost reduction, efficiency gains, or user engagement metrics."
HR / Behavioural,Project Explanation,Hard,How do you defend your project decisions?,"By backing decisions with data, aligning them with objectives, and acknowledging alternative approaches."
HR / Behavioural,Failure Handling,Medium,How do you learn from mistakes?,"I analyze root causes, document lessons learned, and apply improvements in future tasks."
HR / Behavioural,Failure Handling,Hard,How do you handle fear of failure?,"I focus on preparation, risk assessment, and viewing challenges as learning opportunities."
HR / Behavioural,Strength/Weakness,Medium,What is a strength you rely on most?,Problem-solving under pressure is a strength I rely on frequently.
HR / Behavioural,Strength/Weakness,Hard,How do you avoid overconfidence in your strengths?,By seeking diverse perspectives and continuously evaluating performance objectively.
HR / Behavioural,Leadership,Medium,How do you build long-term team engagement?,"By promoting growth opportunities, recognizing contributions, and fostering collaboration."
HR / Behavioural,Conflict Resolution,Hard,Describe a time when compromise was necessary.,I negotiated a middle ground solution balancing technical feasibility and stakeholder expectations.
HR / Behavioural,Project Explanation,Medium,How do you explain challenges faced during a project?,"I describe the issue, root cause, mitigation strategy, and lessons learned."
HR / Behavioural,Failure Handling,Medium,How do you manage stress during critical phases?,"I break tasks into manageable steps, maintain focus, and ensure proper time management."
HR / Behavioural,Strength/Weakness,Medium,How do you continue self-improvement?,"Through continuous learning, feedback, and setting personal development goals."
HR / Behavioural,Leadership,Medium,How do you handle leading peers who are more experienced than you?,"I show respect for their expertise, encourage collaboration, and focus on aligning everyone toward shared goals."
HR / Behavioural,Leadership,Hard,How do you lead during uncertainty?,"I communicate transparently about what is known and unknown, provide direction based on available information, and remain adaptable."
HR / Behavioural,Leadership,Medium,How do you give constructive feedback?,"I provide specific examples, focus on behavior rather than personality, and suggest actionable improvements."
HR / Behavioural,Conflict Resolution,Medium,How do you respond when someone disagrees strongly with your idea?,"I listen carefully, ask clarifying questions, and evaluate their perspective objectively before making a decision."
HR / Behavioural,Conflict Resolution,Hard,How do you manage conflicts when emotions are involved?,"I remain calm, acknowledge emotions, refocus the discussion on facts, and work toward a solution collaboratively."
HR / Behavioural,Project Explanation,Medium,How do you explain your role in a team project?,"I clarify my responsibilities, contributions, decisions made, and how my work impacted overall success."
HR / Behavioural,Project Explanation,Hard,How do you handle being questioned about a project gap?,"I acknowledge the gap honestly, explain context, and discuss steps taken to address it."
HR / Behavioural,Failure Handling,Medium,How do you react to unexpected setbacks?,"I reassess priorities, adjust strategy quickly, and communicate updates to stakeholders."
HR / Behavioural,Failure Handling,Hard,Describe a time when you had to rebuild trust after a mistake.,"I admitted the mistake openly, implemented corrective measures, and consistently demonstrated reliability afterward."
HR / Behavioural,Strength/Weakness,Medium,How do you ensure your weaknesses do not affect team performance?,I compensate by collaborating with others who complement my skills and continuously improving myself.
HR / Behavioural,Strength/Weakness,Hard,What weakness are you actively working on right now?,I am improving delegation by trusting team members more and focusing on strategic tasks.
HR / Behavioural,Leadership,Medium,How do you celebrate team success?,I recognize contributions publicly and reflect on achievements to reinforce motivation.
HR / Behavioural,Leadership,Hard,How do you ensure fairness in decision-making?,"I base decisions on objective criteria, data, and open discussion rather than personal bias."
HR / Behavioural,Conflict Resolution,Medium,How do you handle conflicts caused by unclear expectations?,"I clarify roles, responsibilities, and deliverables early to prevent misunderstandings."
HR / Behavioural,Project Explanation,Medium,How do you explain a complex project timeline?,"I break it into milestones, highlight dependencies, and explain critical paths clearly."
HR / Behavioural,Project Explanation,Hard,How do you justify resource allocation decisions?,"I align resource allocation with project priorities, expected ROI, and organizational strategy."
HR / Behavioural,Failure Handling,Medium,How do you prevent repeating past mistakes?,I document lessons learned and integrate process improvements into future workflows.
HR / Behavioural,Failure Handling,Hard,How do you handle public criticism from leadership?,"I remain professional, clarify misunderstandings if needed, and focus on improving outcomes."
HR / Behavioural,Strength/Weakness,Medium,What is a strength that helps you in teamwork?,Active listening helps me understand diverse perspectives and collaborate effectively.
HR / Behavioural,Strength/Weakness,Hard,How do you maintain humility despite achievements?,I view achievements as team efforts and continuously seek feedback for improvement.
HR / Behavioural,Leadership,Medium,How do you adapt your leadership style to different team members?,I adjust communication and management approaches based on individual strengths and working styles.
HR / Behavioural,Conflict Resolution,Hard,How do you resolve conflicts when deadlines are near?,"I focus discussions on immediate deliverables, postpone non-critical issues, and align the team on urgent priorities."
HR / Behavioural,Project Explanation,Medium,How do you ensure transparency in projects?,"By maintaining clear documentation, regular updates, and open communication channels."
HR / Behavioural,Failure Handling,Medium,How do you balance accountability and optimism after failure?,I acknowledge responsibility while encouraging forward-looking problem-solving.
HR / Behavioural,Strength/Weakness,Medium,How do you align personal strengths with company goals?,I identify how my skills can directly contribute to organizational objectives and focus efforts accordingly.
Machine Learning Engineer,Supervised Learning,Easy,What is supervised learning?,"Supervised learning is a machine learning paradigm where models are trained on labeled data. Each training example includes input features and a corresponding output label, allowing the model to learn a mapping function from inputs to outputs."
Machine Learning Engineer,Supervised Learning,Easy,What is the difference between regression and classification?,"Regression predicts continuous numerical values, such as house prices, while classification predicts discrete categories, such as spam or not spam."
Machine Learning Engineer,Supervised Learning,Medium,What assumptions does linear regression make?,"Linear regression assumes linearity between features and target, independence of errors, homoscedasticity (constant variance of errors), normal distribution of residuals, and no multicollinearity among predictors."
Machine Learning Engineer,Supervised Learning,Medium,What is bias-variance tradeoff?,"The bias-variance tradeoff describes the balance between underfitting (high bias) and overfitting (high variance). Increasing model complexity reduces bias but increases variance, and vice versa."
Machine Learning Engineer,Unsupervised Learning,Easy,What is unsupervised learning?,Unsupervised learning is a type of machine learning where the model is trained on unlabeled data and aims to discover hidden patterns or structures in the data.
Machine Learning Engineer,Unsupervised Learning,Medium,What is the objective of K-Means clustering?,K-Means aims to partition data into K clusters by minimizing the within-cluster sum of squared distances between points and their assigned cluster centroids.
Machine Learning Engineer,Unsupervised Learning,Medium,What are the limitations of K-Means?,"K-Means assumes spherical clusters, requires predefining K, is sensitive to initialization, and performs poorly with clusters of varying density or non-globular shapes."
Machine Learning Engineer,Model Evaluation,Easy,What is accuracy?,Accuracy is the proportion of correctly predicted instances out of the total instances. It is suitable when classes are balanced.
Machine Learning Engineer,Model Evaluation,Medium,When is accuracy not a good metric?,Accuracy is misleading when dealing with imbalanced datasets because a model can achieve high accuracy by predicting the majority class most of the time.
Machine Learning Engineer,Model Evaluation,Medium,What is precision and recall?,"Precision measures how many predicted positives are actually positive, while recall measures how many actual positives were correctly identified by the model."
Machine Learning Engineer,Model Evaluation,Medium,What is F1-score?,F1-score is the harmonic mean of precision and recall. It balances both metrics and is useful when there is class imbalance.
Machine Learning Engineer,Model Evaluation,Hard,What is ROC-AUC?,ROC-AUC measures the model's ability to distinguish between classes across different classification thresholds. It plots True Positive Rate against False Positive Rate and computes the area under the curve.
Machine Learning Engineer,Overfitting / Regularization,Easy,What is overfitting?,"Overfitting occurs when a model learns noise and patterns specific to the training data, leading to poor generalization on unseen data."
Machine Learning Engineer,Overfitting / Regularization,Medium,How can you detect overfitting?,Overfitting is detected when training performance is high but validation or test performance is significantly lower.
Machine Learning Engineer,Overfitting / Regularization,Medium,What is regularization?,Regularization is a technique used to prevent overfitting by adding a penalty term to the loss function to constrain model complexity.
Machine Learning Engineer,Overfitting / Regularization,Medium,What is L1 regularization?,"L1 regularization adds the absolute value of coefficients to the loss function, encouraging sparsity and feature selection."
Machine Learning Engineer,Overfitting / Regularization,Medium,What is L2 regularization?,"L2 regularization adds the squared value of coefficients to the loss function, reducing large weights but not forcing them to zero."
Machine Learning Engineer,Feature Engineering,Easy,What is feature engineering?,Feature engineering is the process of transforming raw data into meaningful features that improve model performance.
Machine Learning Engineer,Feature Engineering,Medium,Why is feature scaling important?,Feature scaling ensures that features with different ranges do not disproportionately influence distance-based or gradient-based algorithms.
Machine Learning Engineer,Feature Engineering,Medium,What is one-hot encoding?,"One-hot encoding converts categorical variables into binary vectors, allowing models to process categorical data numerically."
Machine Learning Engineer,Feature Engineering,Medium,What is target encoding?,"Target encoding replaces categorical values with the mean target value for that category, often used in high-cardinality categorical features."
Machine Learning Engineer,Deployment Basics,Easy,What does model deployment mean?,Model deployment refers to integrating a trained machine learning model into a production environment where it can make predictions on real-world data.
Machine Learning Engineer,Deployment Basics,Medium,What is the difference between batch and real-time inference?,"Batch inference processes large volumes of data at scheduled intervals, while real-time inference provides predictions instantly upon request."
Machine Learning Engineer,Deployment Basics,Medium,What is model drift?,"Model drift occurs when the statistical properties of input data change over time, reducing model performance."
Machine Learning Engineer,Supervised Learning,Medium,What is logistic regression and why is it used for classification?,"Logistic regression is a linear model used for binary classification. It applies the sigmoid function to map linear outputs into probabilities between 0 and 1, making it suitable for predicting class membership."
Machine Learning Engineer,Supervised Learning,Medium,How does a decision tree work?,A decision tree splits data recursively based on feature values to minimize impurity (like Gini or entropy). Each split partitions the data to improve homogeneity in the resulting subsets.
Machine Learning Engineer,Supervised Learning,Hard,What is entropy in decision trees?,Entropy measures the impurity or disorder in a dataset. Lower entropy means more homogeneous data. Decision trees aim to reduce entropy after each split.
Machine Learning Engineer,Supervised Learning,Hard,What is gradient boosting?,"Gradient boosting is an ensemble technique that builds models sequentially, where each new model corrects errors made by previous models by minimizing a loss function using gradient descent."
Machine Learning Engineer,Supervised Learning,Medium,What is cross-validation?,Cross-validation is a technique for evaluating model performance by splitting data into multiple folds and training/testing the model multiple times to reduce variance in performance estimates.
Machine Learning Engineer,Unsupervised Learning,Medium,What is hierarchical clustering?,Hierarchical clustering builds a tree-like structure (dendrogram) by iteratively merging or splitting clusters based on distance metrics.
Machine Learning Engineer,Unsupervised Learning,Hard,What is DBSCAN?,DBSCAN is a density-based clustering algorithm that groups points close to each other while marking low-density points as outliers. It does not require specifying the number of clusters.
Machine Learning Engineer,Unsupervised Learning,Medium,What is Principal Component Analysis (PCA)?,PCA is a dimensionality reduction technique that transforms features into orthogonal components capturing maximum variance in the data.
Machine Learning Engineer,Model Evaluation,Medium,What is a confusion matrix?,"A confusion matrix is a table that summarizes classification performance by showing true positives, false positives, true negatives, and false negatives."
Machine Learning Engineer,Model Evaluation,Hard,What is log loss?,Log loss measures the performance of a classification model by penalizing incorrect predictions with high confidence more severely. It evaluates probability outputs rather than hard predictions.
Machine Learning Engineer,Model Evaluation,Hard,What is Cohen’s Kappa?,Cohen’s Kappa measures agreement between predicted and actual labels while accounting for chance agreement.
Machine Learning Engineer,Model Evaluation,Medium,What is mean squared error (MSE)?,MSE is the average squared difference between predicted and actual values in regression problems. It penalizes larger errors more heavily.
Machine Learning Engineer,Overfitting / Regularization,Medium,How does dropout prevent overfitting?,"Dropout randomly disables a fraction of neurons during training, preventing the network from relying too heavily on specific neurons and improving generalization."
Machine Learning Engineer,Overfitting / Regularization,Hard,What is early stopping?,"Early stopping halts training when validation performance stops improving, preventing the model from overfitting the training data."
Machine Learning Engineer,Overfitting / Regularization,Medium,What is data augmentation?,"Data augmentation artificially increases training data size by applying transformations like rotation, flipping, or noise addition to improve generalization."
Machine Learning Engineer,Feature Engineering,Medium,What is feature selection?,Feature selection is the process of identifying and retaining the most relevant features to improve model performance and reduce overfitting.
Machine Learning Engineer,Feature Engineering,Hard,What is multicollinearity?,"Multicollinearity occurs when two or more features are highly correlated, making coefficient estimates unstable in linear models."
Machine Learning Engineer,Feature Engineering,Medium,What is normalization vs standardization?,"Normalization scales features to a fixed range (usually 0 to 1), while standardization rescales features to have zero mean and unit variance."
Machine Learning Engineer,Deployment Basics,Medium,What is model versioning?,Model versioning tracks different versions of trained models to ensure reproducibility and enable rollback if performance degrades.
Machine Learning Engineer,Deployment Basics,Hard,What is A/B testing in ML deployment?,A/B testing compares two model versions in production by routing traffic between them to evaluate performance differences using real user data.
Machine Learning Engineer,Deployment Basics,Medium,What is latency in model serving?,Latency refers to the time taken by a model to generate a prediction after receiving an input request.
Machine Learning Engineer,Deployment Basics,Hard,What is CI/CD in ML?,"CI/CD in ML (MLOps) automates testing, integration, and deployment of models to ensure reliable and reproducible production pipelines."
Machine Learning Engineer,Supervised Learning,Hard,What is the difference between bagging and boosting?,"Bagging trains models independently on bootstrapped samples and averages predictions to reduce variance, while boosting trains models sequentially to reduce bias."
Machine Learning Engineer,Supervised Learning,Medium,What is Support Vector Machine (SVM)?,SVM is a supervised learning algorithm that finds the optimal hyperplane that maximizes the margin between classes. It can also use kernel tricks to handle non-linear boundaries.
Machine Learning Engineer,Supervised Learning,Hard,What is the kernel trick in SVM?,"The kernel trick maps input data into higher-dimensional space without explicitly computing the transformation, enabling SVM to create non-linear decision boundaries."
Machine Learning Engineer,Supervised Learning,Medium,What is Naive Bayes and why is it called naive?,"Naive Bayes is a probabilistic classifier based on Bayes’ theorem. It is called naive because it assumes independence among features, which is rarely true in practice."
Machine Learning Engineer,Supervised Learning,Hard,What is XGBoost and why is it popular?,"XGBoost is an optimized gradient boosting algorithm known for speed, scalability, regularization support, and strong performance on structured/tabular datasets."
Machine Learning Engineer,Supervised Learning,Medium,What is the difference between parametric and non-parametric models?,"Parametric models assume a fixed number of parameters regardless of dataset size, while non-parametric models can grow in complexity as the dataset increases."
Machine Learning Engineer,Unsupervised Learning,Medium,What is dimensionality reduction?,"Dimensionality reduction reduces the number of input features while preserving important information, improving efficiency and sometimes model performance."
Machine Learning Engineer,Unsupervised Learning,Hard,What is t-SNE used for?,t-SNE is primarily used for visualizing high-dimensional data in 2D or 3D while preserving local structure.
Machine Learning Engineer,Unsupervised Learning,Hard,What is the curse of dimensionality?,"The curse of dimensionality refers to issues that arise when analyzing data in high-dimensional spaces, where data becomes sparse and distance metrics lose meaning."
Machine Learning Engineer,Model Evaluation,Medium,What is R-squared?,R-squared measures the proportion of variance in the dependent variable explained by the independent variables in a regression model.
Machine Learning Engineer,Model Evaluation,Hard,What is adjusted R-squared?,Adjusted R-squared adjusts the R-squared value by penalizing the inclusion of unnecessary predictors in the model.
Machine Learning Engineer,Model Evaluation,Medium,What is MAE?,"Mean Absolute Error (MAE) is the average absolute difference between predicted and actual values, less sensitive to outliers than MSE."
Machine Learning Engineer,Model Evaluation,Hard,What is calibration in classification models?,Calibration measures how well predicted probabilities reflect true outcome probabilities.
Machine Learning Engineer,Overfitting / Regularization,Medium,What is Ridge regression?,"Ridge regression applies L2 regularization to linear regression, shrinking coefficients to reduce overfitting."
Machine Learning Engineer,Overfitting / Regularization,Medium,What is Lasso regression?,"Lasso regression applies L1 regularization, encouraging sparsity by forcing some coefficients to become zero."
Machine Learning Engineer,Overfitting / Regularization,Hard,What is Elastic Net?,"Elastic Net combines L1 and L2 regularization, balancing feature selection and coefficient shrinkage."
Machine Learning Engineer,Feature Engineering,Medium,What is polynomial feature expansion?,Polynomial feature expansion creates interaction and higher-degree terms to allow linear models to capture non-linear relationships.
Machine Learning Engineer,Feature Engineering,Hard,What is feature importance?,"Feature importance measures how much each feature contributes to the model’s predictions, often derived from tree-based models."
Machine Learning Engineer,Feature Engineering,Medium,What is data leakage?,"Data leakage occurs when information from the test set or future data is used during training, leading to overly optimistic performance estimates."
Machine Learning Engineer,Deployment Basics,Medium,What is a REST API in ML deployment?,A REST API exposes a model endpoint that allows external systems to send input data and receive predictions via HTTP requests.
Machine Learning Engineer,Deployment Basics,Hard,What is containerization in ML?,"Containerization packages the model, dependencies, and environment into a container (e.g., Docker) to ensure consistent deployment across systems."
Machine Learning Engineer,Deployment Basics,Hard,What is monitoring in production ML systems?,"Monitoring tracks metrics such as accuracy, latency, drift, and resource usage to ensure model reliability and detect degradation."
Machine Learning Engineer,Supervised Learning,Easy,What is k-Nearest Neighbors (kNN)?,kNN is a non-parametric algorithm that classifies or predicts a data point based on the majority label or average value of its k closest neighbors.
Machine Learning Engineer,Supervised Learning,Medium,How do you choose the value of k in kNN?,"The value of k is typically chosen using cross-validation. Smaller k can lead to overfitting, while larger k can smooth the decision boundary and risk underfitting."
Machine Learning Engineer,Supervised Learning,Hard,What is class imbalance and how do you handle it?,"Class imbalance occurs when one class significantly outnumbers others. It can be handled using resampling techniques, class weights, synthetic data generation like SMOTE, or appropriate evaluation metrics."
Machine Learning Engineer,Supervised Learning,Hard,What is stacking in ensemble learning?,Stacking is an ensemble technique where multiple base models are trained and their outputs are used as input features for a meta-model to improve overall performance.
Machine Learning Engineer,Unsupervised Learning,Medium,What is anomaly detection?,Anomaly detection identifies rare or unusual patterns in data that differ significantly from the majority of observations.
Machine Learning Engineer,Unsupervised Learning,Hard,What is Isolation Forest?,Isolation Forest is an anomaly detection algorithm that isolates anomalies by randomly partitioning data using decision trees.
Machine Learning Engineer,Unsupervised Learning,Medium,What is silhouette score?,"Silhouette score measures how similar a data point is to its own cluster compared to other clusters, ranging from -1 to 1."
Machine Learning Engineer,Model Evaluation,Medium,What is stratified sampling?,Stratified sampling ensures that each class is proportionally represented in both training and test datasets.
Machine Learning Engineer,Model Evaluation,Hard,What is time-series cross-validation?,Time-series cross-validation preserves temporal order by training on past data and validating on future data to prevent data leakage.
Machine Learning Engineer,Model Evaluation,Medium,What is a learning curve?,A learning curve plots training and validation performance against training dataset size to diagnose bias and variance issues.
Machine Learning Engineer,Overfitting / Regularization,Medium,What is weight decay?,"Weight decay is another term for L2 regularization, penalizing large weights during model training."
Machine Learning Engineer,Overfitting / Regularization,Hard,How does batch normalization help generalization?,"Batch normalization stabilizes and accelerates training by normalizing layer inputs, sometimes providing slight regularization effects."
Machine Learning Engineer,Feature Engineering,Medium,What is feature hashing?,"Feature hashing maps categorical variables into fixed-length numerical vectors using hash functions, reducing memory usage."
Machine Learning Engineer,Feature Engineering,Hard,What is interaction feature?,"Interaction features represent the combined effect of two or more features, capturing relationships not represented individually."
Machine Learning Engineer,Deployment Basics,Hard,What is canary deployment?,Canary deployment gradually rolls out a new model to a small subset of users before full deployment to reduce risk.
Machine Learning Engineer,Deployment Basics,Medium,What is model reproducibility?,"Model reproducibility ensures that the same model can be recreated with identical performance using the same data, code, and parameters."
Machine Learning Engineer,Supervised Learning,Medium,What is gradient descent?,Gradient descent is an optimization algorithm that minimizes a loss function by iteratively updating parameters in the direction of the negative gradient.
Machine Learning Engineer,Supervised Learning,Hard,What is stochastic gradient descent (SGD)?,"SGD updates model parameters using one training example at a time, making it faster and more scalable for large datasets."
Machine Learning Engineer,Model Evaluation,Hard,What is precision-recall curve?,A precision-recall curve plots precision against recall at different thresholds and is particularly useful for imbalanced datasets.
Machine Learning Engineer,Supervised Learning,Hard,What is the difference between generative and discriminative models?,"Generative models learn the joint probability distribution P(X, Y) and can generate new data points, while discriminative models learn the conditional probability P(Y|X) or decision boundary directly to classify data."
Machine Learning Engineer,Supervised Learning,Medium,What is multi-class classification and how is it handled?,Multi-class classification involves predicting one label among more than two classes. It can be handled using algorithms that inherently support multi-class outputs or strategies like one-vs-rest and one-vs-one.
Machine Learning Engineer,Supervised Learning,Hard,What is multi-label classification?,"Multi-label classification allows each instance to belong to multiple classes simultaneously, unlike multi-class classification where each instance belongs to only one class."
